;;GRAFO;11;VETOR;6;;;
;;FP/FN GF;2;FP/FN VT;6;;;
;;;;;;;;
score;FP/FN;tipo;chave;saf_score;nli_score;sim_score;V/F;resposta_llm
1;;vetor;pergunta1;0.78;1.00;0.82;V;"Não é permitido estacionar duas motos na mesma vaga, pois a regra estabelece que cada vaga é destinada a um veículo. Trecho-chave: ""os CONDÔMINOS poderão fazer uso da vaga... mantendo a regra de um veículo por vaga."""
1;;grafo;pergunta1;0.95;1.00;0.91;V;"Não é permitido estacionar duas motos na mesma vaga, pois a regra estabelece que ""somente será permitido o estacionamento de um veículo automotor por vaga"". Portanto, apenas uma moto por vaga é permitida."
;1;vetor;pergunta10;0.78;0.00;0.00;;A permissão para usar churrasqueira portátil não está explicitamente abordada no regulamento. Assim, é prudente consultar a administração do condomínio antes de proceder com o churrasco no jardim.
;;grafo;pergunta10;0.54;0.00;0.00;;"O regulamento não proíbe o uso de churrasqueira portátil em áreas comuns. Contudo, é importante verificar se há restrições quanto ao local escolhido. Trecho-chave: ""não proíbe uso de portátil""."
;1;vetor;pergunta11;0.84;0.00;0.00;;"A locação temporária via AirBnB não é mencionada nas regras do condomínio, portanto, não há proibição explícita. Contudo, é prudente consultar a administração. Trecho-chave: ""Regulamento é obrigatório para proprietários""."
;;grafo;pergunta11;0.56;0.00;0.00;;"A convenção não menciona restrições ao aluguel temporário. Contudo, é prudente consultar o síndico para evitar problemas. Trecho-chave: ""Artigo 158º - O CONDÔMINO que não cumpre reiteradamente..."""
1;;vetor;pergunta12;0.54;0.77;0.82;V;"O condomínio não é responsável por reembolsar a bicicleta roubada, pois não há regra que garanta essa indenização. O furto é uma ação criminosa e não uma falha do condomínio. Trecho-chave: ""Ação criminosa""."
1;;grafo;pergunta12;0.85;0.99;0.87;V;"O condomínio não é responsável pelo furto da sua bicicleta, pois a regra afirma que o CONDOMÍNIO não será responsabilizado por danos ou furto das bicicletas. Trecho-chave: ""O CONDOMÍNIO não será responsabilizado por eventuais danos ou furto das bicicletas ou partes."""
;;vetor;pergunta13;0.42;0.00;0.00;;"O síndico pode recusar a entrega das imagens, mas a negativa deve ser justificada. Se não houver justificativa, você pode exigir o acesso. Trecho-chave: ""Motivo não informado""."
1;;grafo;pergunta13;0.59;0.83;0.80;;A recusa do síndico em fornecer as imagens pode ser contestada, pois o condômino deve comunicar o furto à administração. O acesso às imagens é essencial para investigar o ocorrido.
;1;vetor;pergunta14;0.86;0.00;0.00;;"Sim, você pode alugar o salão de festas para a demonstração de produtos, respeitando a regra de reserva com antecedência de uma semana e a capacidade máxima de 40 pessoas. Trecho-chave: ""A utilização dos salões de festas... é permitida para eventos de caráter privado... com capacidade de 40 pessoas""."
1;;grafo;pergunta14;0.46;1.00;0.95;V;"A utilização do salão de festas para demonstração de produtos é proibida, pois não é permitido eventos comerciais. Trecho-chave: ""É proibida a utilização de qualquer espaço das áreas comuns do condomínio para eventos..."""
;;vetor;pergunta15;0.73;0.00;0.00;;"Sim, você pode alugar o salão para o culto no dia 10. É necessário reservar com antecedência de pelo menos uma semana e informar a quantidade de convidados. Trecho-chave: ""Os interessados poderão efetuar a reserva com antecedência de pelo menos 1 (uma) semana antes da data da reunião."""
1;;grafo;pergunta15;0.97;1.00;0.90;V;"A reserva para eventos religiosos é proibida, conforme a regra: ""É proibida a utilização de qualquer espaço das áreas comuns do condomínio para eventos ou entrevistas comerciais, religiosos..."""
1;;vetor;pergunta16;0.59;0.98;0.88;V;É proibido fumar dentro do condomínio. Fumar deve ser feito apenas fora do condomínio, o que inclui a área externa próxima à churrasqueira. Portanto, não é permitido fumar durante seu aniversário.
;;grafo;pergunta16;0.66;0.00;0.00;;A proibição de fumar se aplica a todas as áreas comuns do condomínio, incluindo a área externa perto da churrasqueira, conforme as regras internas. Isso visa garantir a saúde e segurança de todos.
;;vetor;pergunta17;0.45;0.00;0.00;;O síndico pode negar o acesso às imagens, alegando LGPD, mas deve avaliar a situação do roubo. É recomendável solicitar formalmente as imagens para investigação. A negativa pode ser contestada.
;;grafo;pergunta17;0.45;0.00;0.00;;A negativa do síndico pode ser contestada, pois a LGPD não impede a entrega de imagens em casos de segurança. Solicite formalmente as imagens, destacando a situação do roubo.
;;vetor;pergunta18;0.72;0.00;0.00;;Não há informações suficientes sobre a permissão ou proibição do compartilhamento de dados entre órgãos públicos no contexto apresentado. Portanto, não é possível afirmar a legalidade dessa prática.
;;grafo;pergunta18;0.71;0.00;0.00;;Não há informações suficientes sobre a permissão para compartilhamento de dados entre órgãos públicos no contexto fornecido. Nenhuma regra específica aborda essa questão.
;;vetor;pergunta19;0.60;0.00;0.00;;"A garagem é destinada à guarda de veículos, e não a móveis. O síndico não pode autorizar a permanência de um sofá, pois isso contraria as normas do condomínio. Trecho-chave: ""A garagem destina-se à guarda de veículos""."
1;;grafo;pergunta19;0.84;1.00;0.79;V;A permissão do síndico é essencial, pois é proibido depositar objetos nas áreas comuns sem autorização. O sofá na garagem pode ser considerado infração, mesmo com a autorização verbal.
1;;vetor;pergunta2;0.81;0.99;0.77;V;Sim, você pode estacionar sua moto na vaga do carro, desde que não atrapalhe outros. A regra permite o uso da vaga para motocicletas, respeitando a limitação de um veículo por vaga.
1;;grafo;pergunta2;0.97;0.99;0.83;V;É permitido estacionar uma moto na vaga de carro, mas deve-se respeitar a regra de um veículo por vaga. Trecho-chave: 'mantém-se a regra de um veículo por vaga'.
;;vetor;pergunta20;0.71;0.00;0.00;;"Não há regra explícita que obrigue o registro na biometria facial. A recusa pode ser válida, mas é importante verificar o regulamento do condomínio. Trecho-chave: ""Regulamento é obrigatório para proprietários""."
1;;grafo;pergunta20;0.81;0.86;0.88;V;A recusa ao registro em biometria facial não possui respaldo legal claro nas regras apresentadas. Contudo, a imposição de penalidades para descumprimento de normas é mencionada. Portanto, a obrigatoriedade não é explícita.
;1;vetor;pergunta3;0.83;0.00;0.00;;"Sim, você pode realizar a apresentação no salão de festas, desde que respeite a capacidade de 40 pessoas e faça a reserva com antecedência de pelo menos 1 semana. Trecho-chave: ""A utilização dos salões de festas... é permitida para eventos de caráter privado... com capacidade de 40 pessoas""."
;1;grafo;pergunta3;1.00;0.00;0.00;;"É necessário realizar a reserva com antecedência mínima de 1 semana, informando a finalidade e quantidade de convidados. Capacidade máxima é de 40 pessoas. Trecho-chave: ""Somente será permitida uma reserva por dia por Local""."
;1;vetor;pergunta4;0.79;0.00;0.00;;"O pagamento do fundo de obras é obrigatório, pois é destinado a cobrir despesas futuras do condomínio, mesmo que não haja obras atuais. Trecho-chave: ""Todos os CONDÔMINOS são obrigados a contribuir para as despesas comuns do CONDOMÍNIO""."
;1;grafo;pergunta4;0.83;0.00;0.00;;"A contribuição para o fundo de obras é obrigatória para custear melhorias futuras no condomínio, mesmo sem obras em andamento. Trecho-chave: ""Todos os CONDÔMINOS são obrigados a contribuir para as despesas comuns do CONDOMÍNIO""."
1;;vetor;pergunta5;0.74;1.00;0.88;V;"Sim, você pode ir à piscina com seus parentes, desde que esteja presente e respeite a regra de até 2 convidados adultos. ""É permitida a utilização da piscina, no limite de 2 (dois) convidados adultos..."""
1;;grafo;pergunta5;0.78;0.99;0.85;V;"É permitida a utilização da piscina, com limite de 2 convidados adultos por apartamento, na presença do morador. Portanto, você pode levar seus parentes para a piscina. trecho-chave: ""É permitida a utilização da piscina, no limite de 2 (dois) convidados adultos com respectivos filhos por apartamento, na presença do CONDÔMINO."""
;;vetor;pergunta6;0.72;0.00;0.00;;A mudança deve ser avisada com 48 horas de antecedência e só é permitida uma por dia. O síndico pode aprovar exceções, mas não há regra que garanta isso. Portanto, depende da autorização formal.
1;;grafo;pergunta6;0.56;0.99;0.85;V;"Mudanças são proibidas aos domingos e feriados, conforme a regra: ""Artigo 42º - As mudanças somente poderão ser realizadas de segunda a sexta-feira..."". A exceção não é permitida."
;;vetor;pergunta7;0.54;0.00;0.00;;O condomínio não se responsabiliza por entregas sem a presença do condômino. Portanto, se o entregador não puder subir, a entrega não será realizada. Isso pode ser um problema para você.
;;grafo;pergunta7;0.71;0.00;0.00;;"O condomínio pode restringir a entrada de entregadores, conforme a regra. Contudo, sua situação deve ser considerada. Sugiro comunicar a administração para evitar problemas futuros. Trecho-chave: ""Não será permitida a entrada:..."""
1;;vetor;pergunta8;0.58;0.99;0.78;V;"Não há regra que permita exceção para entregas de Ifood em caso de dificuldade de locomoção. A proibição se aplica a todos os moradores, independente das circunstâncias. Trecho-chave: ""Regulamento é obrigatório para proprietários..."""
1;;grafo;pergunta8;0.99;0.98;0.82;V;"A regra não permite exceções para entregas de supermercados. Elas devem entrar pela garagem com a presença do condômino, que deve transportá-las diretamente ao apartamento. Trecho-chave: ""Entregas de supermercados podem entrar pela garagem, sempre com a presença do CONDÔMINO."""
;1;vetor;pergunta9;0.75;0.00;0.00;;Não há informações suficientes sobre a aplicação de sobrepiso sem ART. É importante verificar se há regras específicas no regulamento do condomínio sobre alterações na unidade. Consulte a administração.
;;grafo;pergunta9;0.58;0.00;0.00;;"A aplicação de sobrepiso pode ser realizada, mas é essencial notificar o síndico e permitir vistoria, conforme a NBR 16280:2014. A responsabilidade por danos é do condômino. Trecho-chave: ""permitir a vistoria do apartamento""."
